type,task_id,worker_id,duration_ms,extra_ms,bytes
map,25,52d3153d-40e5-4afd-8057-64ff980d2c45,43393,6425,334124840
map,65,52d3153d-40e5-4afd-8057-64ff980d2c45,50569,6289,334827179
map,105,52d3153d-40e5-4afd-8057-64ff980d2c45,21821,6220,326484117
map,145,52d3153d-40e5-4afd-8057-64ff980d2c45,25440,6397,335636042
map,185,52d3153d-40e5-4afd-8057-64ff980d2c45,15511,6393,339526476
map,31,abad5fae-1f6e-4efa-95fa-83a1456af9d2,44325,6465,338890870
map,71,abad5fae-1f6e-4efa-95fa-83a1456af9d2,19628,6264,330290970
map,111,abad5fae-1f6e-4efa-95fa-83a1456af9d2,28593,6176,327160415
map,151,abad5fae-1f6e-4efa-95fa-83a1456af9d2,20437,6165,327899799
map,191,abad5fae-1f6e-4efa-95fa-83a1456af9d2,20966,6216,330835540
map,26,7c078922-1e33-4592-a723-3094c153af29,43345,6378,338937171
map,66,7c078922-1e33-4592-a723-3094c153af29,33745,6390,339504734
map,106,7c078922-1e33-4592-a723-3094c153af29,26625,6456,341734557
map,146,7c078922-1e33-4592-a723-3094c153af29,19611,6310,333527413
map,186,7c078922-1e33-4592-a723-3094c153af29,26588,6173,324945112
map,1,a552f788-c9f3-42b3-b3e6-50ceaf4b139d,44207,6368,333950750
map,41,a552f788-c9f3-42b3-b3e6-50ceaf4b139d,31728,6214,329686301
map,81,a552f788-c9f3-42b3-b3e6-50ceaf4b139d,24964,6168,324604125
map,121,a552f788-c9f3-42b3-b3e6-50ceaf4b139d,20550,6310,335525765
map,161,a552f788-c9f3-42b3-b3e6-50ceaf4b139d,27647,6220,328460772
map,20,b179a8e7-3aa5-433f-ba9c-b4c1ee90fbbe,45120,6484,344730498
map,60,b179a8e7-3aa5-433f-ba9c-b4c1ee90fbbe,40480,6301,335737457
map,100,b179a8e7-3aa5-433f-ba9c-b4c1ee90fbbe,20495,6349,332352889
map,140,b179a8e7-3aa5-433f-ba9c-b4c1ee90fbbe,35913,6404,338778411
map,180,b179a8e7-3aa5-433f-ba9c-b4c1ee90fbbe,14875,6337,334278075
map,18,805b3dab-4d52-41fe-ac30-d86074c5f0bb,44787,6506,344642449
map,58,805b3dab-4d52-41fe-ac30-d86074c5f0bb,21511,6283,332279955
map,98,805b3dab-4d52-41fe-ac30-d86074c5f0bb,37756,6308,332581990
map,138,805b3dab-4d52-41fe-ac30-d86074c5f0bb,20308,6479,341841799
map,178,805b3dab-4d52-41fe-ac30-d86074c5f0bb,29013,6287,333148537
map,35,a8421305-912a-4b52-a447-28f01a5edba7,46568,6125,323516506
map,75,a8421305-912a-4b52-a447-28f01a5edba7,26962,6224,331906388
map,115,a8421305-912a-4b52-a447-28f01a5edba7,28047,6090,324378413
map,155,a8421305-912a-4b52-a447-28f01a5edba7,19021,6448,341366701
map,195,a8421305-912a-4b52-a447-28f01a5edba7,30289,6524,345008133
map,0,80c388e4-93a1-41cc-aa5f-334beb4ae246,45140,6303,329047897
map,40,80c388e4-93a1-41cc-aa5f-334beb4ae246,31654,6077,327718025
map,80,80c388e4-93a1-41cc-aa5f-334beb4ae246,27150,6063,328274357
map,120,80c388e4-93a1-41cc-aa5f-334beb4ae246,19522,6156,333055962
map,160,80c388e4-93a1-41cc-aa5f-334beb4ae246,30357,6167,334230405
map,7,25279665-4220-4cbc-952f-6f1f158cf2dc,35159,6345,331976142
map,47,25279665-4220-4cbc-952f-6f1f158cf2dc,15585,6379,338174131
map,87,25279665-4220-4cbc-952f-6f1f158cf2dc,36438,6449,348839068
map,127,25279665-4220-4cbc-952f-6f1f158cf2dc,19565,6125,332995973
map,167,25279665-4220-4cbc-952f-6f1f158cf2dc,20820,6383,343156448
map,32,fdf1e371-edea-479d-aa88-914ab1741ca4,47124,6333,333761702
map,72,fdf1e371-edea-479d-aa88-914ab1741ca4,37356,6207,327785695
map,112,fdf1e371-edea-479d-aa88-914ab1741ca4,21428,6489,343969644
map,152,fdf1e371-edea-479d-aa88-914ab1741ca4,27366,6202,330058584
map,192,fdf1e371-edea-479d-aa88-914ab1741ca4,20936,6048,328471069
map,36,a9a544e4-7956-403f-92a0-c7ca6fe485bd,45947,6450,339201308
